sr,rr,t,lm,bo,rem,nr,hr,sl
96.448,26.448,85.56,17.224,82.672,100.56,0.0,76.12,4
50.24,18.048,94.048,8.048,92.072,80.12,5.048,55.12,1
49.92,17.968,98.952,7.936,96.968,79.68,8.968,54.92,0
60.48,20.048,92.048,10.048,90.048,85.24,2.072,60.12,2
99.136,29.136,88.92,18.568,86.704,103.92,0.0,82.84,4
48.28,17.312,97.968,6.624,96.312,73.12,8.312,53.28,0
50.48,18.096,94.096,8.096,92.144,80.24,5.096,55.24,1
96.192,26.192,85.24,17.096,82.288,100.24,0.0,75.48,4
57.68,19.536,95.536,9.536,94.304,83.84,6.536,58.84,1
45.16,16.064,96.096,4.128,95.064,60.64,7.064,50.16,0
48.68,17.472,98.208,6.944,96.472,74.72,8.472,53.68,0
98.016,28.016,87.52,18.008,85.024,102.52,0.0,80.04,4
96.8,26.8,86.0,17.4,83.2,101.0,0.0,77.0,4
56.48,19.296,95.296,9.296,93.944,83.24,6.296,58.24,1
90.08,24.688,91.344,15.36,89.344,98.36,1.344,71.72,3
96.0,26.0,85.0,17.0,82.0,100.0,0.0,75.0,4
50.64,18.128,94.128,8.128,92.192,80.32,5.128,55.32,1
50.56,18.112,94.112,8.112,92.168,80.28,5.112,55.28,1
53.92,18.784,94.784,8.784,93.176,81.96,5.784,56.96,1
96.672,26.672,85.84,17.336,83.008,100.84,0.0,76.68,4
68.32,20.832,92.832,10.832,90.832,89.16,3.248,62.08,2
54.88,18.976,94.976,8.976,93.464,82.44,5.976,57.44,1
52.4,18.48,94.48,8.48,92.72,81.2,5.48,56.2,1
51.6,18.32,94.32,8.32,92.48,80.8,5.32,55.8,1
92.48,25.328,91.664,16.16,89.664,99.16,1.664,73.32,3
98.24,28.24,87.8,18.12,85.36,102.8,0.0,80.6,4
65.12,20.512,92.512,10.512,90.512,87.56,2.768,61.28,2
86.6,23.76,90.88,14.2,88.88,97.2,0.88,69.4,3
68.0,20.8,92.8,10.8,90.8,89.0,3.2,62.0,2
99.808,29.808,89.76,18.904,87.712,104.76,0.0,84.52,4
45.2,16.08,96.12,4.16,95.08,60.8,7.08,50.2,0
63.2,20.32,92.32,10.32,90.32,86.6,2.48,60.8,2
98.272,28.272,87.84,18.136,85.408,102.84,0.0,80.68,4
75.2,21.52,93.52,11.52,91.52,92.6,4.28,63.8,2
76.96,21.696,93.696,11.696,91.696,93.48,4.544,64.24,2
80.0,22.0,90.0,12.0,88.0,95.0,0.0,65.0,3
99.616,29.616,89.52,18.808,87.424,104.52,0.0,84.04,4
97.216,27.216,86.52,17.608,83.824,101.52,0.0,78.04,4
45.04,16.016,96.024,4.032,95.016,60.16,7.016,50.04,0
97.376,27.376,86.72,17.688,84.064,101.72,0.0,78.44,4
53.52,18.704,94.704,8.704,93.056,81.76,5.704,56.76,1
61.44,20.144,92.144,10.144,90.144,85.72,2.216,60.36,2
62.24,20.224,92.224,10.224,90.224,86.12,2.336,60.56,2
79.2,21.92,93.92,11.92,91.92,94.6,4.88,64.8,2
96.96,26.96,86.2,17.48,83.44,101.2,0.0,77.4,4
54.4,18.88,94.88,8.88,93.32,82.2,5.88,57.2,1
68.96,20.896,92.896,10.896,90.896,89.48,3.344,62.24,2
96.608,26.608,85.76,17.304,82.912,100.76,0.0,76.52,4
47.44,16.976,97.464,5.952,95.976,69.76,7.976,52.44,0
90.56,24.816,91.408,15.52,89.408,98.52,1.408,72.04,3
66.88,20.688,92.688,10.688,90.688,88.44,3.032,61.72,2
97.92,27.92,87.4,17.96,84.88,102.4,0.0,79.8,4
68.64,20.864,92.864,10.864,90.864,89.32,3.296,62.16,2
76.0,21.6,93.6,11.6,91.6,93.0,4.4,64.0,2
49.52,17.808,98.712,7.616,96.808,78.08,8.808,54.52,0
54.96,18.992,94.992,8.992,93.488,82.48,5.992,57.48,1
55.28,19.056,95.056,9.056,93.584,82.64,6.056,57.64,1
90.32,24.752,91.376,15.44,89.376,98.44,1.376,71.88,3
97.312,27.312,86.64,17.656,83.968,101.64,0.0,78.28,4
58.08,19.616,95.616,9.616,94.424,84.04,6.616,59.04,1
83.6,22.96,90.48,13.2,88.48,96.2,0.48,67.4,3
98.112,28.112,87.64,18.056,85.168,102.64,0.0,80.28,4
98.208,28.208,87.76,18.104,85.312,102.76,0.0,80.52,4
65.76,20.576,92.576,10.576,90.576,87.88,2.864,61.44,2
57.2,19.44,95.44,9.44,94.16,83.6,6.44,58.6,1
97.568,27.568,86.96,17.784,84.352,101.96,0.0,78.92,4
68.8,20.88,92.88,10.88,90.88,89.4,3.32,62.2,2
47.8,17.12,97.68,6.24,96.12,71.2,8.12,52.8,0
97.184,27.184,86.48,17.592,83.776,101.48,0.0,77.96,4
92.72,25.392,91.696,16.24,89.696,99.24,1.696,73.48,3
59.68,19.936,95.936,9.936,94.904,84.84,6.936,59.84,1
48.56,17.424,98.136,6.848,96.424,74.24,8.424,53.56,0
48.36,17.344,98.016,6.688,96.344,73.44,8.344,53.36,0
78.08,21.808,93.808,11.808,91.808,94.04,4.712,64.52,2
96.736,26.736,85.92,17.368,83.104,100.92,0.0,76.84,4
47.72,17.088,97.632,6.176,96.088,70.88,8.088,52.72,0
71.36,21.136,93.136,11.136,91.136,90.68,3.704,62.84,2
81.44,22.384,90.192,12.48,88.192,95.48,0.192,65.96,3
78.4,21.84,93.84,11.84,91.84,94.2,4.76,64.6,2
49.32,17.728,98.592,7.456,96.728,77.28,8.728,54.32,0
68.48,20.848,92.848,10.848,90.848,89.24,3.272,62.12,2
46.92,16.768,97.152,5.536,95.768,67.68,7.768,51.92,0
48.76,17.504,98.256,7.008,96.504,75.04,8.504,53.76,0
45.08,16.032,96.048,4.064,95.032,60.32,7.032,50.08,0
45.12,16.048,96.072,4.096,95.048,60.48,7.048,50.12,0
50.32,18.064,94.064,8.064,92.096,80.16,5.064,55.16,1
88.52,24.272,91.136,14.84,89.136,97.84,1.136,70.68,3
47.88,17.152,97.728,6.304,96.152,71.52,8.152,52.88,0
96.864,26.864,86.08,17.432,83.296,101.08,0.0,77.16,4
96.096,26.096,85.12,17.048,82.144,100.12,0.0,75.24,4
49.0,17.6,98.4,7.2,96.6,76.0,8.6,54.0,0
64.64,20.464,92.464,10.464,90.464,87.32,2.696,61.16,2
93.32,25.552,91.776,16.44,89.776,99.44,1.776,73.88,3
74.56,21.456,93.456,11.456,91.456,92.28,4.184,63.64,2
96.32,26.32,85.4,17.16,82.48,100.4,0.0,75.8,4
98.784,28.784,88.48,18.392,86.176,103.48,0.0,81.96,4
98.88,28.88,88.6,18.44,86.32,103.6,0.0,82.2,4
70.56,21.056,93.056,11.056,91.056,90.28,3.584,62.64,2
55.76,19.152,95.152,9.152,93.728,82.88,6.152,57.88,1
66.08,20.608,92.608,10.608,90.608,88.04,2.912,61.52,2
99.392,29.392,89.24,18.696,87.088,104.24,0.0,83.48,4
76.8,21.68,93.68,11.68,91.68,93.4,4.52,64.2,2
46.8,16.72,97.08,5.44,95.72,67.2,7.72,51.8,0
47.28,16.912,97.368,5.824,95.912,69.12,7.912,52.28,0
99.776,29.776,89.72,18.888,87.664,104.72,0.0,84.44,4
100.0,30.0,90.0,19.0,88.0,105.0,0.0,85.0,4
59.6,19.92,95.92,9.92,94.88,84.8,6.92,59.8,1
74.72,21.472,93.472,11.472,91.472,92.36,4.208,63.68,2
71.2,21.12,93.12,11.12,91.12,90.6,3.68,62.8,2
58.16,19.632,95.632,9.632,94.448,84.08,6.632,59.08,1
53.44,18.688,94.688,8.688,93.032,81.72,5.688,56.72,1
52.56,18.512,94.512,8.512,92.768,81.28,5.512,56.28,1
54.32,18.864,94.864,8.864,93.296,82.16,5.864,57.16,1
98.08,28.08,87.6,18.04,85.12,102.6,0.0,80.2,4
92.0,25.2,91.6,16.0,89.6,99.0,1.6,73.0,3
58.88,19.776,95.776,9.776,94.664,84.44,6.776,59.44,1
55.2,19.04,95.04,9.04,93.56,82.6,6.04,57.6,1
53.36,18.672,94.672,8.672,93.008,81.68,5.672,56.68,1
79.04,21.904,93.904,11.904,91.904,94.52,4.856,64.76,2
58.24,19.648,95.648,9.648,94.472,84.12,6.648,59.12,1
46.2,16.48,96.72,4.96,95.48,64.8,7.48,51.2,0
67.04,20.704,92.704,10.704,90.704,88.52,3.056,61.76,2
47.04,16.816,97.224,5.632,95.816,68.16,7.816,52.04,0
73.76,21.376,93.376,11.376,91.376,91.88,4.064,63.44,2
57.04,19.408,95.408,9.408,94.112,83.52,6.408,58.52,1
72.48,21.248,93.248,11.248,91.248,91.24,3.872,63.12,2
52.8,18.56,94.56,8.56,92.84,81.4,5.56,56.4,1
57.28,19.456,95.456,9.456,94.184,83.64,6.456,58.64,1
96.384,26.384,85.48,17.192,82.576,100.48,0.0,75.96,4
88.4,24.24,91.12,14.8,89.12,97.8,1.12,70.6,3
98.304,28.304,87.88,18.152,85.456,102.88,0.0,80.76,4
46.68,16.672,97.008,5.344,95.672,66.72,7.672,51.68,0
45.96,16.384,96.576,4.768,95.384,63.84,7.384,50.96,0
48.64,17.456,98.184,6.912,96.456,74.56,8.456,53.64,0
67.36,20.736,92.736,10.736,90.736,88.68,3.104,61.84,2
88.76,24.336,91.168,14.92,89.168,97.92,1.168,70.84,3
46.36,16.544,96.816,5.088,95.544,65.44,7.544,51.36,0
45.44,16.176,96.264,4.352,95.176,61.76,7.176,50.44,0
48.84,17.536,98.304,7.072,96.536,75.36,8.536,53.84,0
80.0,22.0,94.0,12.0,92.0,95.0,5.0,65.0,2
96.64,26.64,85.8,17.32,82.96,100.8,0.0,76.6,4
45.32,16.128,96.192,4.256,95.128,61.28,7.128,50.32,0
67.68,20.768,92.768,10.768,90.768,88.84,3.152,61.92,2
99.552,29.552,89.44,18.776,87.328,104.44,0.0,83.88,4
58.32,19.664,95.664,9.664,94.496,84.16,6.664,59.16,1
52.08,18.416,94.416,8.416,92.624,81.04,5.416,56.04,1
56.56,19.312,95.312,9.312,93.968,83.28,6.312,58.28,1
82.28,22.608,90.304,12.76,88.304,95.76,0.304,66.52,3
45.48,16.192,96.288,4.384,95.192,61.92,7.192,50.48,0
48.72,17.488,98.232,6.976,96.488,74.88,8.488,53.72,0
93.08,25.488,91.744,16.36,89.744,99.36,1.744,73.72,3
87.44,23.984,90.992,14.48,88.992,97.48,0.992,69.96,3
47.4,16.96,97.44,5.92,95.96,69.6,7.96,52.4,0
77.76,21.776,93.776,11.776,91.776,93.88,4.664,64.44,2
65.28,20.528,92.528,10.528,90.528,87.64,2.792,61.32,2
61.76,20.176,92.176,10.176,90.176,85.88,2.264,60.44,2
59.36,19.872,95.872,9.872,94.808,84.68,6.872,59.68,1
97.088,27.088,86.36,17.544,83.632,101.36,0.0,77.72,4
47.2,16.88,97.32,5.76,95.88,68.8,7.88,52.2,0
55.68,19.136,95.136,9.136,93.704,82.84,6.136,57.84,1
80.12,22.032,90.016,12.04,88.016,95.04,0.016,65.08,3
96.768,26.768,85.96,17.384,83.152,100.96,0.0,76.92,4
61.12,20.112,92.112,10.112,90.112,85.56,2.168,60.28,2
50.0,18.0,94.0,8.0,92.0,80.0,5.0,55.0,1
97.408,27.408,86.76,17.704,84.112,101.76,0.0,78.52,4
45.52,16.208,96.312,4.416,95.208,62.08,7.208,50.52,0
91.4,25.04,91.52,15.8,89.52,98.8,1.52,72.6,3
97.056,27.056,86.32,17.528,83.584,101.32,0.0,77.64,4
57.44,19.488,95.488,9.488,94.232,83.72,6.488,58.72,1
90.44,24.784,91.392,15.48,89.392,98.48,1.392,71.96,3
46.76,16.704,97.056,5.408,95.704,67.04,7.704,51.76,0
45.84,16.336,96.504,4.672,95.336,63.36,7.336,50.84,0
88.64,24.304,91.152,14.88,89.152,97.88,1.152,70.76,3
98.048,28.048,87.56,18.024,85.072,102.56,0.0,80.12,4
83.12,22.832,90.416,13.04,88.416,96.04,0.416,67.08,3
56.64,19.328,95.328,9.328,93.992,83.32,6.328,58.32,1
98.176,28.176,87.72,18.088,85.264,102.72,0.0,80.44,4
93.44,25.584,91.792,16.48,89.792,99.48,1.792,73.96,3
84.44,23.184,90.592,13.48,88.592,96.48,0.592,67.96,3
98.432,28.432,88.04,18.216,85.648,103.04,0.0,81.08,4
80.96,22.256,90.128,12.32,88.128,95.32,0.128,65.64,3
49.08,17.632,98.448,7.264,96.632,76.32,8.632,54.08,0
86.96,23.856,90.928,14.32,88.928,97.32,0.928,69.64,3
79.36,21.936,93.936,11.936,91.936,94.68,4.904,64.84,2
81.2,22.32,90.16,12.4,88.16,95.4,0.16,65.8,3
83.96,23.056,90.528,13.32,88.528,96.32,0.528,67.64,3
51.36,18.272,94.272,8.272,92.408,80.68,5.272,55.68,1
97.248,27.248,86.56,17.624,83.872,101.56,0.0,78.12,4
60.16,20.016,92.016,10.016,90.016,85.08,2.024,60.04,2
82.76,22.736,90.368,12.92,88.368,95.92,0.368,66.84,3
51.12,18.224,94.224,8.224,92.336,80.56,5.224,55.56,1
92.96,25.456,91.728,16.32,89.728,99.32,1.728,73.64,3
74.88,21.488,93.488,11.488,91.488,92.44,4.232,63.72,2
83.48,22.928,90.464,13.16,88.464,96.16,0.464,67.32,3
97.632,27.632,87.04,17.816,84.448,102.04,0.0,79.08,4
69.44,20.944,92.944,10.944,90.944,89.72,3.416,62.36,2
99.872,29.872,89.84,18.936,87.808,104.84,0.0,84.68,4
81.92,22.512,90.256,12.64,88.256,95.64,0.256,66.28,3
73.12,21.312,93.312,11.312,91.312,91.56,3.968,63.28,2
48.88,17.552,98.328,7.104,96.552,75.52,8.552,53.88,0
47.12,16.848,97.272,5.696,95.848,68.48,7.848,52.12,0
56.16,19.232,95.232,9.232,93.848,83.08,6.232,58.08,1
77.44,21.744,93.744,11.744,91.744,93.72,4.616,64.36,2
84.8,23.28,90.64,13.6,88.64,96.6,0.64,68.2,3
74.4,21.44,93.44,11.44,91.44,92.2,4.16,63.6,2
77.92,21.792,93.792,11.792,91.792,93.96,4.688,64.48,2
98.848,28.848,88.56,18.424,86.272,103.56,0.0,82.12,4
99.04,29.04,88.8,18.52,86.56,103.8,0.0,82.6,4
58.56,19.712,95.712,9.712,94.568,84.28,6.712,59.28,1
46.64,16.656,96.984,5.312,95.656,66.56,7.656,51.64,0
98.656,28.656,88.32,18.328,85.984,103.32,0.0,81.64,4
51.92,18.384,94.384,8.384,92.576,80.96,5.384,55.96,1
70.08,21.008,93.008,11.008,91.008,90.04,3.512,62.52,2
89.48,24.528,91.264,15.16,89.264,98.16,1.264,71.32,3
96.928,26.928,86.16,17.464,83.392,101.16,0.0,77.32,4
89.36,24.496,91.248,15.12,89.248,98.12,1.248,71.24,3
94.28,25.808,91.904,16.76,89.904,99.76,1.904,74.52,3
83.36,22.896,90.448,13.12,88.448,96.12,0.448,67.24,3
45.36,16.144,96.216,4.288,95.144,61.44,7.144,50.36,0
94.88,25.968,91.984,16.96,89.984,99.96,1.984,74.92,3
47.24,16.896,97.344,5.792,95.896,68.96,7.896,52.24,0
54.56,18.912,94.912,8.912,93.368,82.28,5.912,57.28,1
89.84,24.624,91.312,15.28,89.312,98.28,1.312,71.56,3
89.0,24.4,91.2,15.0,89.2,98.0,1.2,71.0,3
88.28,24.208,91.104,14.76,89.104,97.76,1.104,70.52,3
64.32,20.432,92.432,10.432,90.432,87.16,2.648,61.08,2
96.48,26.48,85.6,17.24,82.72,100.6,0.0,76.2,4
48.24,17.296,97.944,6.592,96.296,72.96,8.296,53.24,0
97.344,27.344,86.68,17.672,84.016,101.68,0.0,78.36,4
45.88,16.352,96.528,4.704,95.352,63.52,7.352,50.88,0
98.368,28.368,87.96,18.184,85.552,102.96,0.0,80.92,4
49.68,17.872,98.808,7.744,96.872,78.72,8.872,54.68,0
69.12,20.912,92.912,10.912,90.912,89.56,3.368,62.28,2
59.52,19.904,95.904,9.904,94.856,84.76,6.904,59.76,1
76.48,21.648,93.648,11.648,91.648,93.24,4.472,64.12,2
53.12,18.624,94.624,8.624,92.936,81.56,5.624,56.56,1
86.36,23.696,90.848,14.12,88.848,97.12,0.848,69.24,3
49.36,17.744,98.616,7.488,96.744,77.44,8.744,54.36,0
46.0,16.4,96.6,4.8,95.4,64.0,7.4,51.0,0
91.76,25.136,91.568,15.92,89.568,98.92,1.568,72.84,3
65.92,20.592,92.592,10.592,90.592,87.96,2.888,61.48,2
62.56,20.256,92.256,10.256,90.256,86.28,2.384,60.64,2
96.704,26.704,85.88,17.352,83.056,100.88,0.0,76.76,4
72.32,21.232,93.232,11.232,91.232,91.16,3.848,63.08,2
90.92,24.912,91.456,15.64,89.456,98.64,1.456,72.28,3
48.8,17.52,98.28,7.04,96.52,75.2,8.52,53.8,0
85.04,23.344,90.672,13.68,88.672,96.68,0.672,68.36,3
71.04,21.104,93.104,11.104,91.104,90.52,3.656,62.76,2
55.92,19.184,95.184,9.184,93.776,82.96,6.184,57.96,1
45.56,16.224,96.336,4.448,95.224,62.24,7.224,50.56,0
56.8,19.36,95.36,9.36,94.04,83.4,6.36,58.4,1
49.8,17.92,98.88,7.84,96.92,79.2,8.92,54.8,0
95.0,26.0,92.0,17.0,90.0,100.0,2.0,75.0,3
87.2,23.92,90.96,14.4,88.96,97.4,0.96,69.8,3
82.52,22.672,90.336,12.84,88.336,95.84,0.336,66.68,3
48.0,17.2,97.8,6.4,96.2,72.0,8.2,53.0,0
91.16,24.976,91.488,15.72,89.488,98.72,1.488,72.44,3
96.032,26.032,85.04,17.016,82.048,100.04,0.0,75.08,4
71.52,21.152,93.152,11.152,91.152,90.76,3.728,62.88,2
96.064,26.064,85.08,17.032,82.096,100.08,0.0,75.16,4
89.6,24.56,91.28,15.2,89.28,98.2,1.28,71.4,3
99.68,29.68,89.6,18.84,87.52,104.6,0.0,84.2,4
57.6,19.52,95.52,9.52,94.28,83.8,6.52,58.8,1
70.72,21.072,93.072,11.072,91.072,90.36,3.608,62.68,2
49.4,17.76,98.64,7.52,96.76,77.6,8.76,54.4,0
74.08,21.408,93.408,11.408,91.408,92.04,4.112,63.52,2
96.992,26.992,86.24,17.496,83.488,101.24,0.0,77.48,4
49.2,17.68,98.52,7.36,96.68,76.8,8.68,54.2,0
51.04,18.208,94.208,8.208,92.312,80.52,5.208,55.52,1
84.68,23.248,90.624,13.56,88.624,96.56,0.624,68.12,3
98.464,28.464,88.08,18.232,85.696,103.08,0.0,81.16,4
46.24,16.496,96.744,4.992,95.496,64.96,7.496,51.24,0
50.72,18.144,94.144,8.144,92.216,80.36,5.144,55.36,1
47.52,17.008,97.512,6.016,96.008,70.08,8.008,52.52,0
47.08,16.832,97.248,5.664,95.832,68.32,7.832,52.08,0
89.12,24.432,91.216,15.04,89.216,98.04,1.216,71.08,3
45.6,16.24,96.36,4.48,95.24,62.4,7.24,50.6,0
45.68,16.272,96.408,4.544,95.272,62.72,7.272,50.68,0
64.16,20.416,92.416,10.416,90.416,87.08,2.624,61.04,2
92.12,25.232,91.616,16.04,89.616,99.04,1.616,73.08,3
72.64,21.264,93.264,11.264,91.264,91.32,3.896,63.16,2
97.28,27.28,86.6,17.64,83.92,101.6,0.0,78.2,4
49.56,17.824,98.736,7.648,96.824,78.24,8.824,54.56,0
59.44,19.888,95.888,9.888,94.832,84.72,6.888,59.72,1
92.36,25.296,91.648,16.12,89.648,99.12,1.648,73.24,3
97.44,27.44,86.8,17.72,84.16,101.8,0.0,78.6,4
80.72,22.192,90.096,12.24,88.096,95.24,0.096,65.48,3
99.936,29.936,89.92,18.968,87.904,104.92,0.0,84.84,4
99.168,29.168,88.96,18.584,86.752,103.96,0.0,82.92,4
85.16,23.376,90.688,13.72,88.688,96.72,0.688,68.44,3
97.696,27.696,87.12,17.848,84.544,102.12,0.0,79.24,4
75.84,21.584,93.584,11.584,91.584,92.92,4.376,63.96,2
45.0,16.0,96.0,4.0,95.0,60.0,7.0,50.0,0
98.496,28.496,88.12,18.248,85.744,103.12,0.0,81.24,4
64.0,20.4,92.4,10.4,90.4,87.0,2.6,61.0,2
81.32,22.352,90.176,12.44,88.176,95.44,0.176,65.88,3
75.52,21.552,93.552,11.552,91.552,92.76,4.328,63.88,2
52.0,18.4,94.4,8.4,92.6,81.0,5.4,56.0,1
66.4,20.64,92.64,10.64,90.64,88.2,2.96,61.6,2
71.84,21.184,93.184,11.184,91.184,90.92,3.776,62.96,2
99.072,29.072,88.84,18.536,86.608,103.84,0.0,82.68,4
49.24,17.696,98.544,7.392,96.696,76.96,8.696,54.24,0
86.48,23.728,90.864,14.16,88.864,97.16,0.864,69.32,3
46.04,16.416,96.624,4.832,95.416,64.16,7.416,51.04,0
58.96,19.792,95.792,9.792,94.688,84.48,6.792,59.48,1
92.24,25.264,91.632,16.08,89.632,99.08,1.632,73.16,3
97.472,27.472,86.84,17.736,84.208,101.84,0.0,78.68,4
93.92,25.712,91.856,16.64,89.856,99.64,1.856,74.28,3
67.84,20.784,92.784,10.784,90.784,88.92,3.176,61.96,2
46.28,16.512,96.768,5.024,95.512,65.12,7.512,51.28,0
90.2,24.72,91.36,15.4,89.36,98.4,1.36,71.8,3
50.4,18.08,94.08,8.08,92.12,80.2,5.08,55.2,1
70.88,21.088,93.088,11.088,91.088,90.44,3.632,62.72,2
97.792,27.792,87.24,17.896,84.688,102.24,0.0,79.48,4
47.96,17.184,97.776,6.368,96.184,71.84,8.184,52.96,0
56.24,19.248,95.248,9.248,93.872,83.12,6.248,58.12,1
96.16,26.16,85.2,17.08,82.24,100.2,0.0,75.4,4
55.12,19.024,95.024,9.024,93.536,82.56,6.024,57.56,1
61.92,20.192,92.192,10.192,90.192,85.96,2.288,60.48,2
48.08,17.232,97.848,6.464,96.232,72.32,8.232,53.08,0
84.32,23.152,90.576,13.44,88.576,96.44,0.576,67.88,3
47.32,16.928,97.392,5.856,95.928,69.28,7.928,52.32,0
53.04,18.608,94.608,8.608,92.912,81.52,5.608,56.52,1
57.12,19.424,95.424,9.424,94.136,83.56,6.424,58.56,1
84.92,23.312,90.656,13.64,88.656,96.64,0.656,68.28,3
55.04,19.008,95.008,9.008,93.512,82.52,6.008,57.52,1
99.968,29.968,89.96,18.984,87.952,104.96,0.0,84.92,4
57.92,19.584,95.584,9.584,94.376,83.96,6.584,58.96,1
96.896,26.896,86.12,17.448,83.344,101.12,0.0,77.24,4
50.8,18.16,94.16,8.16,92.24,80.4,5.16,55.4,1
98.56,28.56,88.2,18.28,85.84,103.2,0.0,81.4,4
51.84,18.368,94.368,8.368,92.552,80.92,5.368,55.92,1
49.72,17.888,98.832,7.776,96.888,78.88,8.888,54.72,0
83.84,23.024,90.512,13.28,88.512,96.28,0.512,67.56,3
86.84,23.824,90.912,14.28,88.912,97.28,0.912,69.56,3
85.4,23.44,90.72,13.8,88.72,96.8,0.72,68.6,3
80.36,22.096,90.048,12.12,88.048,95.12,0.048,65.24,3
85.64,23.504,90.752,13.88,88.752,96.88,0.752,68.76,3
96.512,26.512,85.64,17.256,82.768,100.64,0.0,76.28,4
78.72,21.872,93.872,11.872,91.872,94.36,4.808,64.68,2
62.72,20.272,92.272,10.272,90.272,86.36,2.408,60.68,2
84.2,23.12,90.56,13.4,88.56,96.4,0.56,67.8,3
56.4,19.28,95.28,9.28,93.92,83.2,6.28,58.2,1
83.24,22.864,90.432,13.08,88.432,96.08,0.432,67.16,3
90.68,24.848,91.424,15.56,89.424,98.56,1.424,72.12,3
76.16,21.616,93.616,11.616,91.616,93.08,4.424,64.04,2
